area,bedrooms,bathrooms,stories,age,price
2430,5,3,1,12,694400
3299,1,2,3,24,660600
2691,3,1,2,20,560100
1108,1,3,2,6,300000
3772,1,3,2,9,672900
1647,1,3,2,12,423400
686,4,1,3,16,366500
3897,1,2,3,25,668500
3011,5,1,2,20,737000
3920,3,2,2,27,692900
2294,3,3,3,29,464100
1159,1,3,2,25,313700
3311,4,1,1,13,695600
3502,4,1,2,1,783300
2455,5,2,2,27,595600
2950,1,2,1,21,576800
1869,3,1,1,10,378700
2486,4,2,3,0,577500
2034,1,1,3,18,406900
646,4,2,1,20,300000
3719,4,1,1,3,797000
3411,3,1,3,18,651400
2234,2,1,2,25,385700
